pair_id,original_drug_id,original_drug_name,side,atc_code,alternative_drug_id,alternative_drug_name,source_url,scraped_at
951846,DDInter14,Acetaminophen,B,L04A,DDInter704,Everolimus,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter737,Fingolimod,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L01B,DDInter742,Floxuridine,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter837,Golimumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter849,Guselkumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter923,Infliximab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1003,Ixekizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1250,Muromonab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1268,Natalizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L01B,DDInter1275,Nelarabine,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1321,Ocrelizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1376,Ozanimod,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1477,Pirfenidone,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1491,Pomalidomide,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L01B,DDInter1502,Pralatrexate,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1574,Ravulizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1594,Rilonacept,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1602,Risankizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1643,Sarilumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1652,Secukinumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
